=== TÓM TẮT ===
Metric,Average,Std Dev,Min/Max
PSNR (dB) ↑ cao hơn là tốt hơn,27.45,3.20,min=12.55
SSIM ↑ gần 1 là tốt hơn,0.9146,0.1010,min=0.2250
Delta-E ↓ thấp hơn là tốt hơn (màu sắc),6.2582,3.1759,max=44.5042
Tổng số khung hình,11225
Tốc độ xử lý (FPS),2.6

=== DỮ LIỆU TỪNG FRAME ===
Frame,PSNR (dB),SSIM,Delta-E
1,23.43,0.9484,5.1377
2,23.75,0.9517,5.0500
3,23.78,0.9559,4.8996
4,32.55,0.9763,3.4812
5,23.60,0.9566,4.9130
6,23.47,0.9554,5.0330
7,23.90,0.9576,4.9308
8,23.83,0.9580,4.8849
9,23.59,0.9567,4.9281
10,23.43,0.9544,5.1186
11,23.81,0.9543,5.0801
12,23.66,0.9504,5.3874
13,31.68,0.9687,3.8939
14,23.59,0.9535,4.9088
15,23.41,0.9480,5.0517
16,23.90,0.9500,4.8109
17,23.81,0.9478,4.9160
18,32.39,0.9710,3.4016
19,23.62,0.9552,4.6812
20,23.45,0.9511,4.8223
21,23.86,0.9520,4.6596
22,23.72,0.9477,4.8028
23,32.33,0.9697,3.3328
24,23.65,0.9544,4.6808
25,23.40,0.9462,4.8544
26,23.86,0.9496,4.7308
27,23.76,0.9473,4.8066
28,32.25,0.9688,3.3337
29,23.69,0.9534,4.6218
30,23.45,0.9450,4.9201
31,23.86,0.9483,4.7345
32,23.78,0.9460,4.7591
33,32.24,0.9670,3.2964
34,23.58,0.9497,4.7105
35,23.25,0.9378,5.0253
36,23.85,0.9454,4.7419
37,21.68,0.9347,5.4733
38,23.68,0.9524,4.6120
39,32.83,0.9736,3.1550
40,23.86,0.9512,4.6401
41,23.71,0.9493,4.6799
42,23.62,0.9491,4.7193
43,23.67,0.9537,4.5595
44,32.99,0.9743,3.0896
45,23.93,0.9533,4.4168
46,23.82,0.9535,4.4296
47,23.64,0.9536,4.5925
48,23.60,0.9536,4.6971
49,32.45,0.9723,3.4291
50,23.82,0.9500,4.8536
51,23.71,0.9503,4.8751
52,23.60,0.9500,4.8636
53,23.61,0.9522,4.8119
54,32.11,0.9732,3.7228
55,23.83,0.9492,5.0816
56,23.68,0.9468,5.1967
57,23.50,0.9492,5.2854
58,23.55,0.9542,5.2083
59,32.22,0.9743,3.7690
60,23.78,0.9534,5.1244
61,23.59,0.9491,5.1566
62,23.51,0.9496,5.3924
63,23.55,0.9542,5.3172
64,31.98,0.9746,3.9374
65,23.85,0.9553,5.2939
66,21.67,0.9430,6.1476
67,23.53,0.9530,5.5096
68,31.91,0.9728,3.9635
69,23.89,0.9575,5.1097
70,23.72,0.9547,5.2402
71,23.53,0.9540,5.2661
72,23.49,0.9531,5.2627
73,31.87,0.9703,3.8279
74,23.83,0.9568,5.0992
75,23.70,0.9554,5.1348
76,23.58,0.9549,5.2656
77,23.47,0.9508,5.3994
78,31.72,0.9704,3.9523
79,23.86,0.9571,5.2054
80,23.70,0.9558,5.4029
81,23.58,0.9556,5.3115
82,23.53,0.9543,5.2213
83,32.40,0.9746,3.6579
84,23.83,0.9572,5.0449
85,23.62,0.9534,5.1713
86,23.56,0.9539,5.1775
87,23.54,0.9549,5.1262
88,32.36,0.9744,3.6187
89,23.86,0.9571,4.9096
90,23.72,0.9559,4.9583
91,23.66,0.9551,5.0306
92,23.61,0.9542,5.0683
93,32.39,0.9751,3.6513
94,23.92,0.9581,5.0417
95,23.73,0.9558,5.1587
96,23.51,0.9523,5.3285
97,21.64,0.9431,5.9301
98,23.73,0.9559,5.0940
99,32.34,0.9748,3.6932
100,23.65,0.9549,5.1252
101,23.52,0.9522,5.1640
102,23.85,0.9545,5.0691
103,23.82,0.9562,5.0177
104,32.21,0.9743,3.7232
105,23.60,0.9529,5.1509
106,23.47,0.9503,5.2040
107,23.77,0.9532,5.1259
108,23.78,0.9564,5.0325
109,32.19,0.9735,3.6920
110,23.53,0.9534,5.1292
111,23.43,0.9512,5.1323
112,23.76,0.9542,5.0866
113,23.75,0.9550,5.0451
114,31.86,0.9705,3.7816
115,23.55,0.9469,5.2543
116,23.51,0.9528,5.2150
117,23.82,0.9550,5.1179
118,23.80,0.9563,5.0986
119,32.16,0.9731,3.7316
120,23.44,0.9459,5.3426
121,23.27,0.9424,5.4243
122,23.76,0.9527,5.1680
123,23.78,0.9560,5.0441
124,32.16,0.9735,3.7131
125,23.59,0.9517,5.1770
126,21.65,0.9417,5.9064
127,23.76,0.9531,5.1299
128,32.24,0.9734,3.6873
129,23.71,0.9547,5.0535
130,23.53,0.9503,5.2031
131,23.91,0.9537,5.0647
132,23.82,0.9523,5.1441
133,31.83,0.9699,3.7915
134,23.63,0.9535,5.1765
135,23.44,0.9471,5.3217
136,23.77,0.9517,5.1077
137,23.74,0.9532,5.0899
138,32.22,0.9725,3.6788
139,23.73,0.9542,5.0773
140,23.53,0.9480,5.2612
141,23.85,0.9506,5.1808
142,23.66,0.9442,5.4079
143,31.35,0.9642,3.9393
144,23.68,0.9538,5.1524
145,23.43,0.9462,5.3198
146,23.83,0.9508,5.1967
147,23.74,0.9467,5.2037
148,32.14,0.9701,3.6332
149,23.69,0.9562,5.0760
150,23.54,0.9531,5.1718
151,23.93,0.9562,5.1057
152,23.80,0.9524,5.2784
153,31.91,0.9715,3.8784
154,23.73,0.9543,5.3010
